Name,Category,Integration,Description,Url,Selectable with
adEffectiveStatus,ad-insights-account,facebook-ads,,,
campaignEffectiveStatus,ad-insights-account,facebook-ads,,,
audienceAge,ad-insights-account,facebook-ads,,,
audienceGender,ad-insights-account,facebook-ads,,,
audienceLocation,ad-insights-account,facebook-ads,,,
conversion,ad-insights-account,facebook-ads,,,
impression_device,ad-insights-account,facebook-ads,"The device where your last ad was served to someone on Meta. For example \""iPhone\"" if someone viewed your ad on an iPhone.",https://developers.facebook.com/docs/marketing-api/insights/breakdowns#impression_device,
action_device,ad-insights-account,facebook-ads,"The device on which the conversion event you're tracking occurred. For example, \""Desktop\"" if someone converted on a desktop computer.",https://developers.facebook.com/docs/marketing-api/insights/breakdowns#action_device,
device_platform,ad-insights-account,facebook-ads,"The type of device, mobile or desktop, used by people when they viewed or clicked on an ad, as shown in ads reporting.",https://developers.facebook.com/docs/marketing-api/insights/breakdowns#device_platform,
publisher_platform,ad-insights-account,facebook-ads,"Which platform your ad was shown, for example on Facebook, Instagram, or Audience Network.",https://developers.facebook.com/docs/marketing-api/insights/breakdowns#publisher_platform,
product_id,ad-insights-account,facebook-ads,"The ID of the product involved in impression, click, or action.",https://developers.facebook.com/docs/marketing-api/insights/breakdowns#product_id,
region,ad-insights-account,facebook-ads,"The regions where the people you've reached are located. This is based on information such as a person's hometown, their current city and the geographical location where they tend to be when they visit Facebook.",https://developers.facebook.com/docs/marketing-api/insights/breakdowns#region,
platform_position,ad-insights-account,facebook-ads,"Where your ad was shown within a platform, for example on Facebook desktop Feed, or Instagram Mobile Feed.",https://developers.facebook.com/docs/marketing-api/insights/breakdowns#platform_position,
link_url_asset,ad-insights-account,facebook-ads,"The  ID of the URL asset involved in impression, click or action.",https://developers.facebook.com/docs/marketing-api/insights/breakdowns#link_url_asset,
actionAttributionWindows,ad-insights-account,facebook-ads,,,
account,ad-insights-account,facebook-ads,,,
age,ad-insights-account,facebook-ads,The age range of the people you've reached.,https://developers.facebook.com/docs/marketing-api/insights/breakdowns#age,
country,ad-insights-account,facebook-ads,"The country where the people you've reached are located. This is based on information, such as a person's hometown, their current city, and the geographical location where they tend to be when they visit Meta.",https://developers.facebook.com/docs/marketing-api/insights/breakdowns#country,
dma,ad-insights-account,facebook-ads,The Designated Market Area (DMA) regions are the 210 geographic areas in the United States in which local television viewing is measured by The Nielsen Company.,https://developers.facebook.com/docs/marketing-api/insights/breakdowns#dma,
gender,ad-insights-account,facebook-ads,Gender of people you've reached. People who don't list their gender are shown as 'not specified'.,https://developers.facebook.com/docs/marketing-api/insights/breakdowns#gender,
hourly_stats_aggregated_by_advertiser_time_zone,ad-insights-account,facebook-ads,"Hourly breakdown aggregated by the time ads were delivered in the advertiser's time zone. For example, if your ads are scheduled to run from 9 AM to 11 AM, but they reach audiences in multiple time zones, they may deliver from 9 AM to 1 PM in the advertiser's time zone. Stats will be aggregated into four groups 9 AM - 10 AM, 10 AM - 11 AM, 11 AM - 12 PM, and 12 PM - 1 PM.",https://developers.facebook.com/docs/marketing-api/insights/breakdowns#hourly_stats_aggregated_by_advertiser_time_zone,
hourly_stats_aggregated_by_audience_time_zone,ad-insights-account,facebook-ads,"Hourly breakdown aggregated by the time ads were delivered in the audiences' time zone. For example, if your ads are scheduled to run from 9:00 am to 11:00 am, but they reach audiences in multiple time zones, they may deliver from 9:00 am to 1:00 pm in the advertiser's time zone. Stats are aggregated into 2 groups: 9:00 am to 10:00 am and 10:00 am to 11:00 am.",https://developers.facebook.com/docs/marketing-api/insights/breakdowns#hourly_stats_aggregated_by_audience_time_zone,
action_carousel_card_name,ad-insights-account,facebook-ads,The specific carousel card that people engaged with when they saw your ad. The cards are identified by their headlines.,https://developers.facebook.com/docs/marketing-api/insights/breakdowns#action_carousel_card_name,
action_destination,ad-insights-account,facebook-ads,"The destination where people go after clicking on your ad. This could be your Facebook Page, an external URL for your conversion pixel or an app configured with the software development kit (SDK).",https://developers.facebook.com/docs/marketing-api/insights/breakdowns#action_destination,
action_reaction,ad-insights-account,facebook-ads,"The number of reactions on your ads or boosted posts. The reactions button on an ad allows people to share different reactions on its content: Like, Love, Haha, Wow, Sad or Angry.",https://developers.facebook.com/docs/marketing-api/insights/breakdowns#action_reaction,
action_video_sound,ad-insights-account,facebook-ads,The sound status (on/off) when someone plays your video ad.,https://developers.facebook.com/docs/marketing-api/insights/breakdowns#action_video_sound,
action_video_type,ad-insights-account,facebook-ads,Video metrics breakdown.,https://developers.facebook.com/docs/marketing-api/insights/breakdowns#action_video_type,
action_canvas_component_name,ad-insights-account,facebook-ads,Name of a component within a Canvas ad.,https://developers.facebook.com/docs/marketing-api/insights/breakdowns#action_canvas_component_name,
action_carousel_card_id,ad-insights-account,facebook-ads,The ID of the specific carousel card that people engaged with when they saw your ad.,https://developers.facebook.com/docs/marketing-api/insights/breakdowns#action_carousel_card_id,
action_target_id,ad-insights-account,facebook-ads,"The ID of destination where people go after clicking on your ad. This could be your Facebook Page, an external URL for your conversion pixel or an app configured with the software development kit (SDK).",https://developers.facebook.com/docs/marketing-api/insights/breakdowns#action_target_id,
action_type,ad-insights-account,facebook-ads,"The kind of actions taken on your ad, page, app or event after your ad was served to someone, even if they didn't click on it. Action types include page likes, app installs, conversions, event responses, and more.",https://developers.facebook.com/docs/marketing-api/insights/breakdowns#action_type,
day,ad-insights-account,facebook-ads,,,
dayOfWeek,ad-insights-account,facebook-ads,,,
dayOfMonth,ad-insights-account,facebook-ads,,,
week,ad-insights-account,facebook-ads,,,
isoWeek,ad-insights-account,facebook-ads,,,
weekOfYear,ad-insights-account,facebook-ads,,,
isoWeekOfYear,ad-insights-account,facebook-ads,,,
month,ad-insights-account,facebook-ads,,,
monthOfYear,ad-insights-account,facebook-ads,,,
year,ad-insights-account,facebook-ads,,,
application_id,ad-insights-account,facebook-ads,,,
body_asset,ad-insights-account,facebook-ads,"The  ID of the body asset involved in impression, click, or action.",https://developers.facebook.com/docs/marketing-api/insights/breakdowns#body_asset,
call_to_action_asset,ad-insights-account,facebook-ads,"The  ID of the call to action asset involved in impression, click, or action.",https://developers.facebook.com/docs/marketing-api/insights/breakdowns#call_to_action_asset,
converted_product_id,ad-insights-account,facebook-ads,,,
description_asset,ad-insights-account,facebook-ads,"The  ID of the description asset involved in impression, click, or action.",https://developers.facebook.com/docs/marketing-api/insights/breakdowns#description_asset,
frequency_value,ad-insights-account,facebook-ads,The number of times an ad in your Reach and Frequency campaign was served to each Accounts Center account.,https://developers.facebook.com/docs/marketing-api/insights/breakdowns#frequency_value,
image_asset,ad-insights-account,facebook-ads,"The ID of the image asset involved in impression, click, or action.",https://developers.facebook.com/docs/marketing-api/insights/breakdowns#image_asset,
title_asset,ad-insights-account,facebook-ads,"The ID of the title asset involved in impression, click or action.",https://developers.facebook.com/docs/marketing-api/insights/breakdowns#title_asset,
video_asset,ad-insights-account,facebook-ads,"The ID of the video asset involved in impression, click or action.",https://developers.facebook.com/docs/marketing-api/insights/breakdowns#video_asset,
outbound_clicks,ad-insights-campaign,facebook-ads,The number of clicks on links that take people off Facebook-owned properties.,https://developers.facebook.com/docs/marketing-api/reference/ad-account/insights#outbound_clicks,
outbound_clicks_ctr,ad-insights-campaign,facebook-ads,The percentage of times people saw your ad and performed an outbound click.,https://developers.facebook.com/docs/marketing-api/reference/ad-account/insights#outbound_clicks_ctr,
unique_outbound_clicks,ad-insights-campaign,facebook-ads,,,
unique_outbound_clicks_ctr,ad-insights-campaign,facebook-ads,,,
cost_per_outbound_click,ad-insights-campaign,facebook-ads,The average cost for each outbound click.,https://developers.facebook.com/docs/marketing-api/reference/ad-account/insights#cost_per_outbound_click,
cost_per_unique_outbound_click,ad-insights-campaign,facebook-ads,The average cost for each unique outbound click. This metric is estimated.,https://developers.facebook.com/docs/marketing-api/reference/ad-account/insights#cost_per_unique_outbound_click,
conversion_values,ad-insights-campaign,facebook-ads,conversion_values,https://developers.facebook.com/docs/marketing-api/reference/ad-account/insights#conversion_values,
conversions,ad-insights-campaign,facebook-ads,conversions,https://developers.facebook.com/docs/marketing-api/reference/ad-account/insights#conversions,
cost_per_conversion,ad-insights-campaign,facebook-ads,cost_per_conversion,https://developers.facebook.com/docs/marketing-api/reference/ad-account/insights#cost_per_conversion,
purchase_roas,ad-insights-campaign,facebook-ads,The total return on ad spend (ROAS) from purchases. This is based on information received from one or more of your connected Facebook Business Tools and attributed to your ads.,https://developers.facebook.com/docs/marketing-api/reference/ad-account/insights#purchase_roas,
website_purchase_roas,ad-insights-campaign,facebook-ads,The total return on ad spend (ROAS) from website purchases. This is based on the value of all conversions recorded by the Facebook pixel on your website and attributed to your ads.,https://developers.facebook.com/docs/marketing-api/reference/ad-account/insights#website_purchase_roas,
campaign,ad-insights-campaign,facebook-ads,,,
adset,ad-insights-ad-set,facebook-ads,,,
ad,ad-insights-ad,facebook-ads,,,
adPreview,ad-insights-ad,facebook-ads,,,
adCreative,ad-insights-ad,facebook-ads,,,
ad_format_asset,ad-insights-ad,facebook-ads,"The ID of the ad format asset involved in impression, click, or action",https://developers.facebook.com/docs/marketing-api/insights/breakdowns#ad_format_asset,
linkAdSettings,ad-insights-ad,facebook-ads,,,
adPreviewDesktop,ad-insights-ad,facebook-ads,,,
adPreviewSmall,ad-insights-ad,facebook-ads,,,
targetingDetails,ad-insights-ad,facebook-ads,,,
targeting,ad-insights-ad,facebook-ads,,,
timestamp,ads-pixel-stats,facebook-ads,,,
diagnostics_hourly_last_timestamp,ads-pixel-stats,facebook-ads,,,
event,ads-pixel-stats,facebook-ads,,,
browser_type,ads-pixel-stats,facebook-ads,,,
device_os,ads-pixel-stats,facebook-ads,,,
device_type,ads-pixel-stats,facebook-ads,,,
host,ads-pixel-stats,facebook-ads,,,
url,ads-pixel-stats,facebook-ads,,,
pixel_fire,ads-pixel-stats,facebook-ads,,,
hourOfDay,ads-pixel-stats,facebook-ads,,,
hour,ads-pixel-stats,facebook-ads,,,
quarter,ads-pixel-stats,facebook-ads,,,
quarterOfYear,ads-pixel-stats,facebook-ads,,,
isoYear,ads-pixel-stats,facebook-ads,,,
ViewContent,ads-pixel-stats,facebook-ads,,,
Search,ads-pixel-stats,facebook-ads,,,
AddToCart,ads-pixel-stats,facebook-ads,,,
AddToWishlist,ads-pixel-stats,facebook-ads,,,
InitiateCheckout,ads-pixel-stats,facebook-ads,,,
AddPaymentInfo,ads-pixel-stats,facebook-ads,,,
Purchase,ads-pixel-stats,facebook-ads,,,
Lead,ads-pixel-stats,facebook-ads,,,
CompleteRegistration,ads-pixel-stats,facebook-ads,,,
adPixelId,ads-pixel-stats,facebook-ads,,,
id,ad-study-objective,facebook-ads,"Unique ID for an ad creative, numeric string.",https://developers.facebook.com/docs/reference/ads-api/adcreative#id,
name,ad-study-objective,facebook-ads,Name of downloaded file,https://developers.facebook.com/docs/marketing-api/insights/async#name,
type,ad-study-objective,facebook-ads,,,
last_updated_results,ad-study-objective,facebook-ads,,,
custom_attributes,ad-study-objective,facebook-ads,,,
is_primary,ad-study-objective,facebook-ads,,,
results,ad-study-objective,facebook-ads,,,
ad_study_id,ad-study-objective,facebook-ads,,,
ad_study_name,ad-study-objective,facebook-ads,,,
cell_id,ad-study-objective,facebook-ads,,,
ad_study,ad-study-objective,facebook-ads,,,
ad_study_objective,ad-study-objective,facebook-ads,,,
adStudyId,ad-study-objective,facebook-ads,,,
adObjectiveId,ad-study-objective,facebook-ads,,,
segments.ad_format_type,ad-group-ad-asset-view,google-adwords,,,
segments.ad_network_type,ad-group-ad-asset-view,google-adwords,,,
segments.conversion_action,ad-group-ad-asset-view,google-adwords,,,
segments.date,ad-group-ad-asset-view,google-adwords,,,
segments.day_of_week,ad-group-ad-asset-view,google-adwords,,,
segments.month,ad-group-ad-asset-view,google-adwords,,,
segments.quarter,ad-group-ad-asset-view,google-adwords,,,
segments.slot,ad-group-ad-asset-view,google-adwords,,,
segments.week,ad-group-ad-asset-view,google-adwords,,,
segments.year,ad-group-ad-asset-view,google-adwords,,,
metrics.all_conversions,ad-group-ad-asset-view,google-adwords,,,
metrics.all_conversions_value,ad-group-ad-asset-view,google-adwords,,,
metrics.all_conversions_value_per_cost,ad-group-ad-asset-view,google-adwords,,,
metrics.biddable_app_install_conversions,ad-group-ad-asset-view,google-adwords,,,
metrics.biddable_app_post_install_conversions,ad-group-ad-asset-view,google-adwords,,,
metrics.clicks,ad-group-ad-asset-view,google-adwords,,,
metrics.conversions,ad-group-ad-asset-view,google-adwords,,,
metrics.conversions_value,ad-group-ad-asset-view,google-adwords,,,
metrics.conversions_value_per_cost,ad-group-ad-asset-view,google-adwords,,,
metrics.cost_micros,ad-group-ad-asset-view,google-adwords,,,
metrics.ctr,ad-group-ad-asset-view,google-adwords,,,
metrics.average_cpc,ad-group-ad-asset-view,google-adwords,,,
metrics.cost_per_all_conversions,ad-group-ad-asset-view,google-adwords,,,
